image_path,transcription,source,split
data/synthetic/images/synth_00026.png,Syp. Amoxicillin 250mg/5ml TID,synthetic,train
data/iam/iam_words/words\c02\c02-056\c02-056-06-04.png,1914,iam,train
data/iam/iam_words/words\a01\a01-128\a01-128-05-03.png,of,iam,train
data/iam/iam_words/words\a04\a04-039\a04-039-08-05.png,peace,iam,train
data/iam/iam_words/words\c04\c04-017\c04-017-00-02.png,miles,iam,train
data/iam/iam_words/words\c04\c04-066\c04-066-03-07.png,up,iam,train
data/iam/iam_words/words\a01\a01-038\a01-038-00-00.png,Mr.,iam,train
data/iam/iam_words/words\e01\e01-050\e01-050-07-01.png,abused,iam,train
data/iam/iam_words/words\c02\c02-026\c02-026-03-03.png,and,iam,train
data/iam/iam_words/words\e02\e02-074\e02-074-06-06.png,than,iam,train
data/iam/iam_words/words\e07\e07-061\e07-061-01-00.png,egg-case,iam,train
data/iam/iam_words/words\b05\b05-062\b05-062-04-08.png,other,iam,train
data/iam/iam_words/words\a03\a03-059\a03-059-04-01.png,go,iam,train
data/iam/iam_words/words\b04\b04-187\b04-187-03-05.png,what,iam,train
data/iam/iam_words/words\b06\b06-027\b06-027-01-04.png,toward,iam,train
data/iam/iam_words/words\a04\a04-031\a04-031-03-05.png,from,iam,train
data/iam/iam_words/words\a05\a05-099\a05-099-07-07.png,Inspection,iam,train
data/iam/iam_words/words\d04\d04-125\d04-125-04-11.png,under,iam,train
data/iam/iam_words/words\a06\a06-114\a06-114-06-02.png,into,iam,train
data/iam/iam_words/words\c03\c03-000f\c03-000f-07-01.png,conception,iam,train
data/iam/iam_words/words\a01\a01-072u\a01-072u-03-04.png,President,iam,train
data/iam/iam_words/words\a03\a03-047\a03-047-01-05.png,popular,iam,train
data/iam/iam_words/words\a02\a02-000\a02-000-01-05.png,joining,iam,train
data/iam/iam_words/words\e01\e01-014\e01-014-06-02.png,her,iam,train
data/iam/iam_words/words\e04\e04-026\e04-026-04-05.png,in,iam,train
data/iam/iam_words/words\b06\b06-004\b06-004-01-03.png,air,iam,train
data/iam/iam_words/words\a01\a01-038\a01-038-09-06.png,the,iam,train
data/iam/iam_words/words\c03\c03-003d\c03-003d-00-09.png,been,iam,train
data/iam/iam_words/words\d06\d06-003\d06-003-00-03.png,to,iam,train
data/iam/iam_words/words\c02\c02-049\c02-049-08-05.png,the,iam,train
data/iam/iam_words/words\c06\c06-047\c06-047-05-00.png,and,iam,train
data/iam/iam_words/words\c03\c03-000a\c03-000a-01-00.png,play,iam,train
data/iam/iam_words/words\a02\a02-116\a02-116-00-05.png,authorised,iam,train
data/iam/iam_words/words\a01\a01-049\a01-049-03-01.png,Weaver,iam,train
data/iam/iam_words/words\c02\c02-059\c02-059-02-04.png,something,iam,train
data/iam/iam_words/words\d04\d04-089\d04-089-01-01.png,are,iam,train
data/iam/iam_words/words\b01\b01-014\b01-014-02-03.png,exercised,iam,train
data/iam/iam_words/words\a01\a01-117\a01-117-05-00.png,unsmiling,iam,train
data/iam/iam_words/words\b05\b05-058\b05-058-02-04.png,content,iam,train
data/iam/iam_words/words\b02\b02-035\b02-035-10-02.png,saying,iam,train
data/iam/iam_words/words\e06\e06-053\e06-053-00-06.png,caught,iam,train
data/iam/iam_words/words\d04\d04-075\d04-075-08-02.png,ben,iam,train
data/iam/iam_words/words\a01\a01-063\a01-063-07-05.png,to,iam,train
data/iam/iam_words/words\b01\b01-073\b01-073-10-00.png,not,iam,train
data/iam/iam_words/words\c03\c03-016d\c03-016d-02-05.png,dingy,iam,train
data/iam/iam_words/words\a04\a04-031\a04-031-00-03.png,and,iam,train
data/iam/iam_words/words\b02\b02-097\b02-097-08-02.png,with,iam,train
data/iam/iam_words/words\d06\d06-011\d06-011-01-06.png,arise,iam,train
data/iam/iam_words/words\c02\c02-003\c02-003-07-05.png,also,iam,train
data/iam/iam_words/words\c03\c03-003b\c03-003b-00-02.png,not,iam,train
data/iam/iam_words/words\b05\b05-038\b05-038-07-07.png,of,iam,train
data/iam/iam_words/words\b01\b01-122\b01-122-06-00.png,Commonwealth,iam,train
data/iam/iam_words/words\b01\b01-132\b01-132-05-06.png,final,iam,train
data/iam/iam_words/words\c02\c02-056\c02-056-07-07.png,than,iam,train
data/iam/iam_words/words\e04\e04-052\e04-052-01-11.png,clamp,iam,train
data/iam/iam_words/words\b01\b01-062\b01-062-05-06.png,content,iam,train
data/iam/iam_words/words\a05\a05-022\a05-022-05-04.png,the,iam,train
data/iam/iam_words/words\c06\c06-116\c06-116-02-05.png,Newmar,iam,train
data/iam/iam_words/words\a01\a01-068u\a01-068u-02-00.png,without,iam,train
data/iam/iam_words/words\e04\e04-127\e04-127-01-07.png,greatly,iam,train
data/iam/iam_words/words\b04\b04-034\b04-034-01-10.png,all,iam,train
data/iam/iam_words/words\a05\a05-009\a05-009-00-03.png,numerous,iam,train
data/iam/iam_words/words\c04\c04-165\c04-165-06-00.png,The,iam,train
data/iam/iam_words/words\a05\a05-113\a05-113-00-07.png,that,iam,train
data/iam/iam_words/words\a05\a05-104\a05-104-06-04.png,Mr.,iam,train
data/iam/iam_words/words\e01\e01-102\e01-102-00-07.png,in,iam,train
data/iam/iam_words/words\a02\a02-078\a02-078-06-00.png,until,iam,train
data/iam/iam_words/words\a03\a03-063\a03-063-09-10.png,satellite,iam,train
data/iam/iam_words/words\a01\a01-014x\a01-014x-04-05.png,Sir,iam,train
data/iam/iam_words/words\d06\d06-041\d06-041-00-07.png,impression,iam,train
data/iam/iam_words/words\e04\e04-127\e04-127-03-01.png,and,iam,train
data/iam/iam_words/words\a01\a01-011\a01-011-06-00.png,Mr.,iam,train
data/iam/iam_words/words\b05\b05-017\b05-017-05-01.png,Paris,iam,train
data/iam/iam_words/words\a05\a05-029\a05-029-03-00.png,Berlin,iam,train
data/iam/iam_words/words\a02\a02-000\a02-000-06-00.png,taken,iam,train
data/iam/iam_words/words\e04\e04-062\e04-062-01-04.png,glue,iam,train
data/iam/iam_words/words\d06\d06-027\d06-027-00-00.png,Toyohiko,iam,train
data/iam/iam_words/words\b01\b01-062\b01-062-07-05.png,MRA,iam,train
data/iam/iam_words/words\d01\d01-016\d01-016-01-04.png,reasonably,iam,train
data/iam/iam_words/words\c03\c03-000f\c03-000f-04-02.png,who,iam,train
data/iam/iam_words/words\c03\c03-084e\c03-084e-00-03.png,production,iam,train
data/iam/iam_words/words\b06\b06-100\b06-100-08-03.png,The,iam,train
data/iam/iam_words/words\a06\a06-119\a06-119-06-03.png,and,iam,train
data/iam/iam_words/words\e04\e04-015\e04-015-00-06.png,that,iam,train
data/iam/iam_words/words\e01\e01-113\e01-113-04-01.png,forefinger,iam,train
data/iam/iam_words/words\e07\e07-012\e07-012-08-07.png,Fang-,iam,train
data/iam/iam_words/words\a06\a06-020\a06-020-02-04.png,official,iam,train
data/iam/iam_words/words\e06\e06-041\e06-041-02-04.png,kind,iam,train
data/iam/iam_words/words\a01\a01-058x\a01-058x-08-01.png,with,iam,train
data/iam/iam_words/words\c04\c04-116\c04-116-02-06.png,in,iam,train
data/iam/iam_words/words\a01\a01-077u\a01-077u-07-01.png,aides,iam,train
data/iam/iam_words/words\a04\a04-015\a04-015-01-01.png,talks,iam,train
data/iam/iam_words/words\a01\a01-043x\a01-043x-02-01.png,appointment,iam,train
data/synthetic/images/synth_00673.png,Tab. Azithromycin 500mg OD x 3d,synthetic,train
data/iam/iam_words/words\e02\e02-086\e02-086-06-08.png,additions,iam,train
data/iam/iam_words/words\e04\e04-026\e04-026-01-06.png,The,iam,train
data/iam/iam_words/words\b03\b03-104\b03-104-08-04.png,centigrade,iam,train
data/iam/iam_words/words\a02\a02-093\a02-093-01-04.png,over,iam,train
data/iam/iam_words/words\b01\b01-057\b01-057-08-09.png,in,iam,train
data/iam/iam_words/words\a03\a03-030\a03-030-03-04.png,supplant,iam,train
data/iam/iam_words/words\c02\c02-022\c02-022-01-06.png,rebukes,iam,train
data/iam/iam_words/words\b04\b04-175\b04-175-02-03.png,most,iam,train
data/iam/iam_words/words\e04\e04-068\e04-068-02-02.png,to,iam,train
data/iam/iam_words/words\c04\c04-066\c04-066-00-00.png,HOW,iam,train
data/iam/iam_words/words\b01\b01-057\b01-057-03-00.png,advertisement,iam,train
data/iam/iam_words/words\a02\a02-027\a02-027-07-06.png,holiday,iam,train
data/iam/iam_words/words\b04\b04-096\b04-096-03-08.png,pity,iam,train
data/iam/iam_words/words\a06\a06-152\a06-152-01-05.png,impose,iam,train
data/iam/iam_words/words\a01\a01-072u\a01-072u-08-00.png,the,iam,train
data/iam/iam_words/words\d06\d06-104\d06-104-04-02.png,day,iam,train
data/iam/iam_words/words\a01\a01-020\a01-020-04-07.png,overall,iam,train
data/iam/iam_words/words\d06\d06-086\d06-086-03-02.png,man,iam,train
data/iam/iam_words/words\a01\a01-020u\a01-020u-02-00.png,which,iam,train
data/iam/iam_words/words\a01\a01-058x\a01-058x-09-01.png,Chancellor,iam,train
data/iam/iam_words/words\c02\c02-056\c02-056-01-02.png,proper,iam,train
data/iam/iam_words/words\a04\a04-039\a04-039-05-05.png,thanked,iam,train
data/iam/iam_words/words\d04\d04-125\d04-125-04-12.png,the,iam,train
data/iam/iam_words/words\a03\a03-063\a03-063-09-03.png,project,iam,train
data/iam/iam_words/words\b05\b05-079\b05-079-06-02.png,calls,iam,train
data/iam/iam_words/words\e01\e01-107\e01-107-00-05.png,made,iam,train
data/iam/iam_words/words\e07\e07-003\e07-003-08-00.png,imported,iam,train
data/iam/iam_words/words\e04\e04-052\e04-052-07-03.png,shape,iam,train
data/iam/iam_words/words\a01\a01-007u\a01-007u-00-06.png,Peers,iam,train
data/iam/iam_words/words\b01\b01-122\b01-122-02-03.png,hopes,iam,train
data/iam/iam_words/words\e06\e06-041\e06-041-01-06.png,moving,iam,train
data/iam/iam_words/words\e06\e06-000\e06-000-03-07.png,that,iam,train
data/iam/iam_words/words\a02\a02-000\a02-000-00-02.png,has,iam,train
data/iam/iam_words/words\b05\b05-042\b05-042-06-01.png,equipped,iam,train
data/iam/iam_words/words\b06\b06-019\b06-019-07-00.png,will,iam,train
data/iam/iam_words/words\a01\a01-026x\a01-026x-02-06.png,Rhodesia's,iam,train
data/iam/iam_words/words\c03\c03-003a\c03-003a-00-08.png,has,iam,train
data/iam/iam_words/words\c02\c02-012\c02-012-00-04.png,all,iam,train
data/iam/iam_words/words\b04\b04-034\b04-034-00-09.png,to,iam,train
data/iam/iam_words/words\d06\d06-030\d06-030-02-08.png,of,iam,train
data/iam/iam_words/words\e01\e01-035\e01-035-01-00.png,and,iam,train
data/iam/iam_words/words\a01\a01-000x\a01-000x-01-04.png,Peers,iam,train
data/iam/iam_words/words\d06\d06-027\d06-027-06-05.png,are,iam,train
data/iam/iam_words/words\b06\b06-059\b06-059-09-03.png,secure,iam,train
data/iam/iam_words/words\b03\b03-109\b03-109-07-04.png,rather,iam,train
data/iam/iam_words/words\c04\c04-066\c04-066-01-06.png,slightly,iam,train
data/iam/iam_words/words\b06\b06-068\b06-068-01-00.png,Scarborough,iam,train
data/synthetic/images/synth_00896.png,Tab. Diclofenac 50mg BD pc,synthetic,train
data/iam/iam_words/words\a01\a01-117u\a01-117u-01-00.png,for,iam,train
data/iam/iam_words/words\c06\c06-138\c06-138-04-02.png,to,iam,train
data/iam/iam_words/words\a04\a04-003\a04-003-00-03.png,talks,iam,train
data/iam/iam_words/words\d06\d06-072\d06-072-08-03.png,the,iam,train
data/iam/iam_words/words\d06\d06-096\d06-096-07-05.png,above,iam,train
data/iam/iam_words/words\a05\a05-004\a05-004-03-03.png,force,iam,train
data/iam/iam_words/words\a02\a02-012\a02-012-00-02.png,is,iam,train
data/iam/iam_words/words\d01\d01-104\d01-104-06-11.png,the,iam,train
data/iam/iam_words/words\c04\c04-089\c04-089-04-07.png,the,iam,train
data/iam/iam_words/words\a01\a01-107\a01-107-04-04.png,when,iam,train
data/iam/iam_words/words\e06\e06-006\e06-006-00-01.png,effect,iam,train
data/iam/iam_words/words\b04\b04-116\b04-116-03-07.png,never,iam,train
data/iam/iam_words/words\b04\b04-169\b04-169-06-06.png,and,iam,train
data/iam/iam_words/words\a01\a01-107u\a01-107u-05-04.png,Interrupted,iam,train
data/iam/iam_words/words\d01\d01-019\d01-019-03-07.png,or,iam,train
data/iam/iam_words/words\a04\a04-043\a04-043-06-05.png,and,iam,train
data/iam/iam_words/words\b06\b06-023\b06-023-05-05.png,288,iam,train
data/iam/iam_words/words\e04\e04-043\e04-043-06-00.png,and,iam,train
data/iam/iam_words/words\c06\c06-005\c06-005-01-01.png,empties,iam,train
data/iam/iam_words/words\a01\a01-063\a01-063-03-02.png,problem,iam,train
data/iam/iam_words/words\a02\a02-102\a02-102-00-03.png,for,iam,train
data/iam/iam_words/words\a06\a06-004\a06-004-08-05.png,deal,iam,train
data/iam/iam_words/words\b02\b02-045\b02-045-03-05.png,that,iam,train
data/iam/iam_words/words\a06\a06-057\a06-057-00-02.png,to,iam,train
data/iam/iam_words/words\e04\e04-004\e04-004-02-08.png,each,iam,train
data/iam/iam_words/words\b04\b04-195\b04-195-04-05.png,is,iam,train
data/iam/iam_words/words\e06\e06-030\e06-030-07-00.png,but,iam,train
data/iam/iam_words/words\a01\a01-087\a01-087-04-06.png,Labour,iam,train
data/iam/iam_words/words\b04\b04-202\b04-202-00-00.png,The,iam,train
data/iam/iam_words/words\c03\c03-081b\c03-081b-04-08.png,However,iam,train
data/iam/iam_words/words\a01\a01-003\a01-003-03-05.png,as,iam,train
data/iam/iam_words/words\c03\c03-081a\c03-081a-02-01.png,herself,iam,train
data/iam/iam_words/words\e06\e06-030\e06-030-04-00.png,course,iam,train
data/iam/iam_words/words\d04\d04-125\d04-125-00-08.png,God,iam,train
data/iam/iam_words/words\a03\a03-071\a03-071-03-00.png,it,iam,train
data/iam/iam_words/words\e01\e01-119\e01-119-03-05.png,end,iam,train
data/iam/iam_words/words\b02\b02-035\b02-035-01-03.png,what,iam,train
data/iam/iam_words/words\e04\e04-034\e04-034-01-04.png,Then,iam,train
data/iam/iam_words/words\a06\a06-036\a06-036-06-00.png,heat,iam,train
data/iam/iam_words/words\a01\a01-102\a01-102-07-04.png,it,iam,train
data/iam/iam_words/words\e02\e02-018\e02-018-04-02.png,at,iam,train
data/iam/iam_words/words\a04\a04-072\a04-072-06-02.png,the,iam,train
data/iam/iam_words/words\d01\d01-085\d01-085-02-05.png,whether,iam,train
data/iam/iam_words/words\b06\b06-093\b06-093-04-06.png,ban,iam,train
data/synthetic/images/synth_00596.png,Tab. Metoprolol 50mg BD,synthetic,train
data/iam/iam_words/words\a01\a01-058u\a01-058u-03-03.png,Washington,iam,train
data/iam/iam_words/words\a06\a06-100\a06-100-04-05.png,Our,iam,train
data/iam/iam_words/words\a01\a01-091u\a01-091u-05-02.png,least,iam,train
data/iam/iam_words/words\a06\a06-051\a06-051-04-06.png,returned,iam,train
data/iam/iam_words/words\a03\a03-040\a03-040-06-05.png,for,iam,train
data/iam/iam_words/words\d01\d01-019\d01-019-03-15.png,was,iam,train
data/iam/iam_words/words\c03\c03-000d\c03-000d-06-07.png,and,iam,train
data/iam/iam_words/words\a01\a01-058\a01-058-04-00.png,day,iam,train
data/iam/iam_words/words\e06\e06-021\e06-021-09-00.png,in,iam,train
data/synthetic/images/synth_00561.png,Inj. Insulin 10 units SC stat,synthetic,train
data/iam/iam_words/words\a01\a01-030x\a01-030x-04-04.png,obligation,iam,train
data/iam/iam_words/words\d04\d04-117\d04-117-05-11.png,him,iam,train
data/iam/iam_words/words\c06\c06-039\c06-039-01-02.png,Patrick's,iam,train
data/iam/iam_words/words\b06\b06-023\b06-023-07-10.png,Americans,iam,train
data/iam/iam_words/words\c04\c04-035\c04-035-01-03.png,and,iam,train
data/iam/iam_words/words\a05\a05-004\a05-004-04-06.png,training,iam,train
data/iam/iam_words/words\b04\b04-181\b04-181-02-03.png,much,iam,train
data/iam/iam_words/words\b06\b06-000\b06-000-01-02.png,ambassador,iam,train
data/iam/iam_words/words\e01\e01-062\e01-062-06-04.png,to,iam,train
data/iam/iam_words/words\a03\a03-047\a03-047-09-05.png,about,iam,train
data/iam/iam_words/words\c06\c06-052\c06-052-01-07.png,year,iam,train
data/iam/iam_words/words\c01\c01-014\c01-014-00-00.png,The,iam,train
data/iam/iam_words/words\a04\a04-023\a04-023-02-00.png,guests,iam,train
data/iam/iam_words/words\b01\b01-113\b01-113-06-05.png,prospect,iam,train
data/iam/iam_words/words\a01\a01-077u\a01-077u-06-06.png,his,iam,train
data/iam/iam_words/words\e07\e07-061\e07-061-10-02.png,and,iam,train
data/iam/iam_words/words\a06\a06-000\a06-000-06-03.png,his,iam,train
data/iam/iam_words/words\d06\d06-030\d06-030-04-09.png,comes,iam,train
data/iam/iam_words/words\d06\d06-003\d06-003-04-04.png,molly-coddled,iam,train
data/iam/iam_words/words\a02\a02-053\a02-053-03-04.png,on,iam,train
data/iam/iam_words/words\a01\a01-091u\a01-091u-07-01.png,was,iam,train
data/iam/iam_words/words\b05\b05-017\b05-017-00-11.png,He,iam,train
data/iam/iam_words/words\b04\b04-121\b04-121-06-02.png,major,iam,train
data/iam/iam_words/words\c03\c03-000f\c03-000f-01-07.png,the,iam,train
data/iam/iam_words/words\d06\d06-091\d06-091-01-08.png,easy,iam,train
data/synthetic/images/synth_00765.png,Tab. Glimepiride 1mg OD ac,synthetic,train
data/iam/iam_words/words\c06\c06-087\c06-087-05-09.png,official,iam,train
data/iam/iam_words/words\d06\d06-060\d06-060-05-04.png,which,iam,train
data/iam/iam_words/words\c03\c03-021e\c03-021e-05-02.png,as,iam,train
data/iam/iam_words/words\e04\e04-058\e04-058-02-10.png,moulds,iam,train
data/iam/iam_words/words\a04\a04-096\a04-096-04-07.png,action,iam,train
data/iam/iam_words/words\a01\a01-132\a01-132-01-02.png,limited,iam,train
data/iam/iam_words/words\a01\a01-020u\a01-020u-05-03.png,majority,iam,train
data/iam/iam_words/words\e01\e01-025\e01-025-06-06.png,in,iam,train
data/iam/iam_words/words\a04\a04-085\a04-085-07-00.png,British,iam,train
data/iam/iam_words/words\e04\e04-062\e04-062-00-05.png,resin,iam,train
data/iam/iam_words/words\e07\e07-007\e07-007-06-04.png,eggs,iam,train
data/iam/iam_words/words\a02\a02-078\a02-078-05-01.png,Congress,iam,train
data/iam/iam_words/words\a01\a01-003u\a01-003u-08-00.png,House,iam,train
data/iam/iam_words/words\c02\c02-012\c02-012-05-06.png,to,iam,train
data/iam/iam_words/words\a02\a02-057\a02-057-07-04.png,support,iam,train
data/iam/iam_words/words\b02\b02-013\b02-013-01-05.png,until,iam,train
data/iam/iam_words/words\b06\b06-023\b06-023-06-02.png,ramps,iam,train
data/iam/iam_words/words\c04\c04-105\c04-105-00-05.png,front,iam,train
data/iam/iam_words/words\e02\e02-082\e02-082-02-07.png,but,iam,train
data/iam/iam_words/words\d06\d06-003\d06-003-03-13.png,suggesting,iam,train
data/iam/iam_words/words\b04\b04-054\b04-054-05-04.png,the,iam,train
data/iam/iam_words/words\a03\a03-063\a03-063-09-00.png,as,iam,train
data/iam/iam_words/words\c04\c04-013\c04-013-00-06.png,whom,iam,train
data/iam/iam_words/words\b01\b01-113\b01-113-02-06.png,We,iam,train
data/iam/iam_words/words\c06\c06-091\c06-091-01-00.png,don't,iam,train
data/iam/iam_words/words\a02\a02-072\a02-072-01-09.png,is,iam,train
data/iam/iam_words/words\d06\d06-000\d06-000-02-06.png,silly,iam,train
data/iam/iam_words/words\e01\e01-119\e01-119-01-02.png,Catch,iam,train
data/iam/iam_words/words\b06\b06-071\b06-071-01-00.png,rally,iam,train
data/iam/iam_words/words\e02\e02-074\e02-074-09-07.png,it,iam,train
data/iam/iam_words/words\d01\d01-104\d01-104-00-02.png,objection,iam,train
data/synthetic/images/synth_00434.png,Inj. Ceftriaxone 1g IV BD,synthetic,train
data/iam/iam_words/words\a01\a01-063u\a01-063u-06-01.png,the,iam,train
data/iam/iam_words/words\a05\a05-017\a05-017-09-05.png,be,iam,train
data/iam/iam_words/words\c04\c04-008\c04-008-06-09.png,heel,iam,train
data/iam/iam_words/words\d06\d06-020\d06-020-05-07.png,nothing,iam,train
data/iam/iam_words/words\d06\d06-056\d06-056-01-07.png,friends,iam,train
data/iam/iam_words/words\b01\b01-044\b01-044-02-07.png,been,iam,train
data/iam/iam_words/words\b06\b06-008\b06-008-00-01.png,West,iam,train
data/iam/iam_words/words\b06\b06-097\b06-097-02-07.png,in,iam,train
data/iam/iam_words/words\c02\c02-035\c02-035-02-05.png,Selpin,iam,train
data/iam/iam_words/words\b01\b01-094\b01-094-09-01.png,recognise,iam,train
data/iam/iam_words/words\a06\a06-075\a06-075-04-05.png,to,iam,train
data/iam/iam_words/words\b01\b01-084\b01-084-03-08.png,the,iam,train
data/iam/iam_words/words\c03\c03-087e\c03-087e-04-06.png,de-,iam,train
data/iam/iam_words/words\c06\c06-095\c06-095-03-06.png,to,iam,train
data/iam/iam_words/words\a03\a03-030\a03-030-07-05.png,worded,iam,train
data/iam/iam_words/words\d04\d04-008\d04-008-01-05.png,some,iam,train
data/iam/iam_words/words\e02\e02-074\e02-074-06-02.png,it,iam,train
data/iam/iam_words/words\a06\a06-128\a06-128-00-00.png,Banks,iam,train
data/iam/iam_words/words\d04\d04-058\d04-058-00-07.png,And,iam,train
data/iam/iam_words/words\a05\a05-022\a05-022-05-05.png,Service,iam,train
data/iam/iam_words/words\b01\b01-004\b01-004-00-04.png,that,iam,train
data/iam/iam_words/words\a01\a01-007x\a01-007x-06-06.png,to,iam,train
data/iam/iam_words/words\a03\a03-011\a03-011-07-03.png,in,iam,train
data/iam/iam_words/words\b01\b01-033\b01-033-01-01.png,visit,iam,train
data/iam/iam_words/words\a01\a01-007u\a01-007u-04-05.png,adequate,iam,train
data/iam/iam_words/words\a05\a05-017\a05-017-02-06.png,be,iam,train
data/iam/iam_words/words\b06\b06-008\b06-008-01-07.png,British,iam,train
data/iam/iam_words/words\a01\a01-014\a01-014-07-05.png,Greenfield,iam,train
data/iam/iam_words/words\c03\c03-094c\c03-094c-02-02.png,Mr.,iam,train
data/iam/iam_words/words\a01\a01-096u\a01-096u-06-03.png,am,iam,train
data/iam/iam_words/words\a02\a02-106\a02-106-06-02.png,the,iam,train
data/iam/iam_words/words\d07\d07-082\d07-082-05-02.png,prove,iam,train
data/iam/iam_words/words\a02\a02-042\a02-042-02-05.png,at,iam,train
data/iam/iam_words/words\a05\a05-099\a05-099-04-01.png,of,iam,train
data/iam/iam_words/words\c03\c03-081a\c03-081a-03-06.png,she,iam,train
data/iam/iam_words/words\a02\a02-102\a02-102-03-01.png,of,iam,train
data/iam/iam_words/words\d01\d01-019\d01-019-03-11.png,fell,iam,train
data/iam/iam_words/words\a01\a01-132u\a01-132u-00-02.png,cannot,iam,train
data/iam/iam_words/words\a05\a05-022\a05-022-05-07.png,over,iam,train
data/iam/iam_words/words\c03\c03-087d\c03-087d-06-01.png,whether,iam,train
data/iam/iam_words/words\a04\a04-006\a04-006-03-00.png,There,iam,train
data/iam/iam_words/words\c03\c03-003c\c03-003c-05-00.png,film,iam,train
data/iam/iam_words/words\c03\c03-007a\c03-007a-03-00.png,wet,iam,train
data/iam/iam_words/words\a04\a04-059\a04-059-04-02.png,conference,iam,train
data/iam/iam_words/words\a06\a06-036\a06-036-01-06.png,even,iam,train
data/iam/iam_words/words\e07\e07-003\e07-003-08-05.png,pathogens,iam,train
data/iam/iam_words/words\d06\d06-020\d06-020-04-05.png,with,iam,train
data/iam/iam_words/words\a01\a01-063u\a01-063u-04-06.png,in,iam,train
data/iam/iam_words/words\a01\a01-026u\a01-026u-10-06.png,Macmillan,iam,train
data/iam/iam_words/words\e02\e02-025\e02-025-06-00.png,with,iam,train
data/iam/iam_words/words\d06\d06-011\d06-011-05-02.png,nothing,iam,train
data/iam/iam_words/words\b02\b02-013\b02-013-04-00.png,have,iam,train
data/iam/iam_words/words\b04\b04-020\b04-020-03-03.png,goods,iam,train
data/iam/iam_words/words\c03\c03-096d\c03-096d-00-00.png,Only,iam,train
data/iam/iam_words/words\e04\e04-038\e04-038-01-02.png,decides,iam,train
data/iam/iam_words/words\e02\e02-025\e02-025-04-01.png,case,iam,train
data/iam/iam_words/words\a03\a03-009\a03-009-00-04.png,apparent,iam,train
data/iam/iam_words/words\c04\c04-013\c04-013-03-04.png,nice,iam,train
data/iam/iam_words/words\d06\d06-027\d06-027-06-04.png,we,iam,train
data/iam/iam_words/words\a02\a02-008\a02-008-07-07.png,the,iam,train
data/iam/iam_words/words\a02\a02-017\a02-017-06-06.png,Six,iam,train
data/iam/iam_words/words\e04\e04-008\e04-008-01-01.png,should,iam,train
data/iam/iam_words/words\a06\a06-064\a06-064-05-07.png,attacks,iam,train
data/iam/iam_words/words\a05\a05-025\a05-025-03-02.png,of,iam,train
data/iam/iam_words/words\c03\c03-021f\c03-021f-04-00.png,the,iam,train
data/iam/iam_words/words\c04\c04-013\c04-013-05-01.png,moments,iam,train
data/iam/iam_words/words\a01\a01-011u\a01-011u-08-01.png,Secretary,iam,train
data/iam/iam_words/words\d06\d06-020\d06-020-05-02.png,with,iam,train
data/iam/iam_words/words\a01\a01-053\a01-053-06-06.png,outstanding,iam,train
data/iam/iam_words/words\a05\a05-053\a05-053-00-05.png,be,iam,train
data/iam/iam_words/words\c03\c03-003a\c03-003a-01-05.png,the,iam,train
data/iam/iam_words/words\c06\c06-080\c06-080-01-04.png,the,iam,train
data/iam/iam_words/words\a04\a04-054\a04-054-04-03.png,under,iam,train
data/iam/iam_words/words\d04\d04-086\d04-086-01-07.png,in,iam,train
data/iam/iam_words/words\a06\a06-128\a06-128-09-05.png,be,iam,train
data/iam/iam_words/words\a04\a04-006\a04-006-02-03.png,if,iam,train
data/iam/iam_words/words\a06\a06-064\a06-064-08-07.png,the,iam,train
data/iam/iam_words/words\c03\c03-021b\c03-021b-05-07.png,and,iam,train
data/iam/iam_words/words\e06\e06-033\e06-033-07-07.png,river,iam,train
data/iam/iam_words/words\d06\d06-011\d06-011-01-01.png,the,iam,train
data/iam/iam_words/words\e04\e04-004\e04-004-05-01.png,tray,iam,train
data/iam/iam_words/words\d06\d06-027\d06-027-07-00.png,we,iam,train
data/iam/iam_words/words\a03\a03-040\a03-040-02-06.png,1957,iam,train
data/iam/iam_words/words\b04\b04-034\b04-034-02-03.png,of,iam,train
data/iam/iam_words/words\c06\c06-095\c06-095-01-09.png,says,iam,train
data/iam/iam_words/words\d06\d06-086\d06-086-04-07.png,less,iam,train
data/iam/iam_words/words\a05\a05-022\a05-022-03-01.png,at,iam,train
data/iam/iam_words/words\d04\d04-012\d04-012-01-04.png,68a,iam,train
data/iam/iam_words/words\e06\e06-041\e06-041-04-00.png,the,iam,train
data/iam/iam_words/words\e02\e02-100\e02-100-05-02.png,blame,iam,train
data/iam/iam_words/words\c04\c04-066\c04-066-00-01.png,do,iam,train
data/iam/iam_words/words\c03\c03-016b\c03-016b-04-06.png,and,iam,train
data/iam/iam_words/words\b04\b04-020\b04-020-03-06.png,from,iam,train
data/iam/iam_words/words\a02\a02-102\a02-102-02-03.png,Toro,iam,train
data/iam/iam_words/words\e02\e02-074\e02-074-03-01.png,useful,iam,train
data/iam/iam_words/words\a01\a01-091\a01-091-01-06.png,massed,iam,train
data/iam/iam_words/words\c06\c06-111\c06-111-01-07.png,it,iam,train
data/iam/iam_words/words\c06\c06-039\c06-039-07-04.png,mouse,iam,train
data/iam/iam_words/words\c03\c03-096c\c03-096c-03-05.png,he,iam,train
data/iam/iam_words/words\a01\a01-102u\a01-102u-01-00.png,healing,iam,train
data/iam/iam_words/words\b05\b05-055\b05-055-02-08.png,and,iam,train
data/iam/iam_words/words\e01\e01-062\e01-062-07-01.png,stitches,iam,train
